_NAME_;_PRICE_;_CATEGORY_;_IMAGE_;_ATTRIBUTES_;_MODEL_;_META_DESCRIPTION_; _META_TITLE_
Газовая колонка Electrolux GWH 12 NanoPlus 2.0;17990;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/8997_big.jpg;"Характеристики|Ширина|35 см
Характеристики|Глубина|18 см
Характеристики|Высота|61 см
Характеристики|Вес|7.9 кг
Характеристики|Защита от перегрева|есть
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Тепловая мощность|24 кВт
Характеристики|Диаметр дымохода|110 мм
Характеристики|Установка|вертикальная
Характеристики|Управление|механическое
Характеристики|Производительность|12 л/мин
Характеристики|Подводка|нижняя
Характеристики|Терморегулятор|есть
Характеристики|Дисплей|есть
Характеристики|Диаметр дымохода|110 мм
";KSO-УУУУ03102;Купить Газовая колонка Electrolux GWH 12 NanoPlus 2.0 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Electrolux GWH 12 NanoPlus 2.0 купить в Пензе в магазине «Техресурс»
Газовая колонка Ларгаз декор Венеция  10л. XD N;11630;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6386_big.png;"Характеристики|Ширина|40 см
Характеристики|Глубина|20.8 см
Характеристики|Высота|70.3 см
Характеристики|Вес|10.5 кг
Характеристики|Камера сгорания|открытая
Характеристики|Тип розжига|электроподжиг
Характеристики|Управление|механическое
Характеристики|Мощность|18 кВт
Характеристики|Страна производитель|Китай
Характеристики|Производительность|10 л/мин
";KSO-УУУУ03222;Купить Газовая колонка Ларгаз декор Венеция  10л. XD N в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Ларгаз декор Венеция  10л. XD N купить в Пензе в магазине «Техресурс»
Газовая колонка Ларгаз декор Фонтан 10л. XD N;11630;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6401_big.jpg;"Характеристики|Ширина|40 см
Характеристики|Глубина|20.8 см
Характеристики|Высота|70.3 см
Характеристики|Вес|10.5 кг
Характеристики|Мощность|18 кВт
Характеристики|Страна производитель|Китай
Характеристики|Производительность|10 л/мин
";KSO-УУУУ03223;Купить Газовая колонка Ларгаз декор Фонтан 10л. XD N в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Ларгаз декор Фонтан 10л. XD N купить в Пензе в магазине «Техресурс»
Газовая колонка Ларгаз декор Фрукты 10л. XD N;11630;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6440_big.jpg;"Характеристики|Ширина|40 см
Характеристики|Глубина|20.8 см
Характеристики|Высота|70.3 см
Характеристики|Вес|10.5 кг
Характеристики|Камера сгорания|открытая
Характеристики|Тип розжига|электроподжиг
Характеристики|Управление|механическое
Характеристики|Мощность|18 кВт
Характеристики|Страна производитель|Россия
Характеристики|Производительность|10 л/мин
Характеристики|Дисплей|есть
";KSO-УУУУ03224;Купить Газовая колонка Ларгаз декор Фрукты 10л. XD N в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Ларгаз декор Фрукты 10л. XD N купить в Пензе в магазине «Техресурс»
Газовая колонка Ларгаз декор Париж 10л. XD N(эйфелева башня);11630;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6445_big.jpg;"Характеристики|Ширина|40 см
Характеристики|Глубина|20.8 см
Характеристики|Высота|70.3 см
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Тип розжига|электроподжиг
Характеристики|Управление|механическое
Характеристики|Мощность|18 кВт
Характеристики|Страна производитель|Китай
Характеристики|Дисплей|есть
";KSO-УУУУ03225;Купить Газовая колонка Ларгаз декор Париж 10л. XD N(эйфелева башня) в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Ларгаз декор Париж 10л. XD N(эйфелева башня) купить в Пензе в магазине «Техресурс»
Газовая колонка BAXI SIG-2 11i;25990;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6460_big.jpg;"Характеристики|Ширина|31.4 см
Характеристики|Глубина|24.5 см
Характеристики|Высота|59.2 см
Характеристики|Способ установки|настенный
Характеристики|Тип розжига|автоматический электроподжиг, электроподжиг
Характеристики|Управление|механическое
Характеристики|Мощность|21.8 кВт
Характеристики|Страна производитель|Иран
Характеристики|Производительность|10.9 л/мин
Характеристики|Дисплей|есть
";KSO-УУУУ03372;Купить Газовая колонка BAXI SIG-2 11i в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка BAXI SIG-2 11i купить в Пензе в магазине «Техресурс»
Газовая колонка BAXI SIG-2 14i;35990;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6462_big.png;"Характеристики|Ширина|36.3 см
Характеристики|Глубина|24.5 см
Характеристики|Высота|65 см
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Диаметр дымохода|110 мм
Характеристики|Тип розжига|электроподжиг
Характеристики|Управление|механическое
Характеристики|Мощность|23.70 кВт
Характеристики|Страна производитель|Иран
Характеристики|Производительность|13.6 л/мин
Характеристики|Дисплей|есть
Характеристики|Диаметр дымохода|110 мм
";KSO-УУУУ03374;Купить Газовая колонка BAXI SIG-2 14i в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка BAXI SIG-2 14i купить в Пензе в магазине «Техресурс»
Газовая колонка Ладогаз 10 Е;16990;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6972_big.jpg;"Характеристики|Ширина|33 см
Характеристики|Глубина|17 см
Характеристики|Высота|50 см
Характеристики|Защита от перегрева|есть
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Диаметр дымохода|120 мм
Характеристики|Установка|вертикальная
Характеристики|Управление|механическое
Характеристики|Производительность|10 л/мин
Характеристики|Подводка|нижняя
Характеристики|Терморегулятор|есть
Характеристики|Дисплей|есть
Характеристики|Газ-контроль|есть
Характеристики|Диаметр дымохода|120 мм
";KSO-TT000276;Купить Газовая колонка Ладогаз 10 Е в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Ладогаз 10 Е купить в Пензе в магазине «Техресурс»
Газовая колонка Оазис Glass 20 MG (Берег);14540;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/5572_big.jpeg;"Характеристики|Ширина|34 см
Характеристики|Глубина|14 см
Характеристики|Высота|59 см
Характеристики|Вес|9.2 кг
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Тепловая мощность|20 кВт
Характеристики|Расход природного газа|2 м³/ч
Характеристики|Управление|механическое
Характеристики|Страна производитель|Китай
Характеристики|Производительность|10 л/мин
Характеристики|Дисплей|есть
";KSO-TT006041;Купить Газовая колонка Оазис Glass 20 MG (Берег) в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Оазис Glass 20 MG (Берег) купить в Пензе в магазине «Техресурс»
Газовая колонка Gorenje GWH10NN BW;13030;Колонки газовые;https://www.pogodavdome73.ru/pictures/product/big/6926_big.jpg;"Характеристики|Ширина|35.7 см
Характеристики|Глубина|18 см
Характеристики|Высота|59 см
Характеристики|Вес|11.3 кг
Характеристики|Защита от перегрева|есть
Характеристики|Камера сгорания|открытая
Характеристики|Способ установки|настенный
Характеристики|Тепловая мощность|20 кВт
Характеристики|Расход природного газа|2 м³/ч
Характеристики|Установка|вертикальная
Характеристики|Управление|механическое
Характеристики|Производительность|10 л/мин
Характеристики|Подводка|нижняя
Характеристики|Терморегулятор|есть
Характеристики|Дисплей|есть
Характеристики|Газ-контроль|есть
";KSO-TTTT0243;Купить Газовая колонка Gorenje GWH10NN BW в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовая колонка Gorenje GWH10NN BW купить в Пензе в магазине «Техресурс»
