_NAME_;_PRICE_;_CATEGORY_;_IMAGE_;_ATTRIBUTES_;_MODEL_;_META_DESCRIPTION_; _META_TITLE_
Газовый напольный котел Лемакс Премиум КСГ 12,5 EuroSIT;35990;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6188_big.jpeg;"Характеристики|Ширина|41.6 см
Характеристики|Глубина|49.1 см
Характеристики|Высота|74.4 см
Характеристики|Вес|53 кг
Характеристики|Защита от перегрева|есть
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|100 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|12.5 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|100 мм
Характеристики|Диаметр дымохода|100 мм
";KSO-TTTT0240;Купить Газовый напольный котел Лемакс Премиум КСГ 12,5 EuroSIT в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовый напольный котел Лемакс Премиум КСГ 12,5 EuroSIT купить в Пензе в магазине «Техресурс»
Котел газовый ЛЕМАКС  АОГВ-8-1 SIT Газовик Новинка;25180;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6407_big.png;"Характеристики|Ширина|28.2 см
Характеристики|Глубина|47.3 см
Характеристики|Высота|68.5 см
Характеристики|Вес|31 кг
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|75 м²
Характеристики|Тепловая мощность|8 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|120 мм
Характеристики|КПД|86 %
Характеристики|Расход природного газа|0.8 м³/ч
Характеристики|Диаметр дымохода|120 мм
";KSO-УУУУ02885;Купить Котел газовый ЛЕМАКС  АОГВ-8-1 SIT Газовик Новинка в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Котел газовый ЛЕМАКС  АОГВ-8-1 SIT Газовик Новинка купить в Пензе в магазине «Техресурс»
Котел газовый ЛЕМАКС АОГВ-11,6-1 SIT Газовик Новинка;25750;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6413_big.png;"Характеристики|Ширина|28.2 см
Характеристики|Глубина|47.3 см
Характеристики|Высота|68.5 см
Характеристики|Вес|31 кг
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|100 м²
Характеристики|Тепловая мощность|11.6 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|120 мм
Характеристики|КПД|87 %
Характеристики|Расход природного газа|1.16 м³/ч
Характеристики|Диаметр дымохода|120 мм
";KSO-УУУУ02887;Купить Котел газовый ЛЕМАКС АОГВ-11,6-1 SIT Газовик Новинка в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Котел газовый ЛЕМАКС АОГВ-11,6-1 SIT Газовик Новинка купить в Пензе в магазине «Техресурс»
Котел газовый ЛЕМАКС АОГВ-15,5-1 SIT Газовик Новинка;31390;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6422_big.png;"Характеристики|Ширина|41 см
Характеристики|Глубина|50.5 см
Характеристики|Высота|75 см
Характеристики|Вес|48 кг
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|125 м²
Характеристики|Тепловая мощность|15.5 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|120 мм
Характеристики|КПД|87 %
Характеристики|Расход природного газа|1.55 м³/ч
Характеристики|Диаметр дымохода|120 мм
";KSO-УУУУ02888;Купить Котел газовый ЛЕМАКС АОГВ-15,5-1 SIT Газовик Новинка в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Котел газовый ЛЕМАКС АОГВ-15,5-1 SIT Газовик Новинка купить в Пензе в магазине «Техресурс»
Котел  АОГВК 11,6 (круглый аналог АОГВ) VАRGAZ EuroSit г. Таганрог;27410;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6363_big.jpg;"Характеристики|Ширина|45 см
Характеристики|Высота|95 см
Характеристики|Количество контуров|двухконтурный
Характеристики|Отапливаемая площадь|120 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|11.6 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|112 мм
Характеристики|Расход природного газа|1.28 м³/ч
Характеристики|Материал теплообменника|сталь
Характеристики|Топливо|природный газ, сжиженный газ
Характеристики|Управление|механическое
Характеристики|Диаметр дымохода|112 мм
";KSO-УУУУ02895;Купить Котел  АОГВК 11,6 (круглый аналог АОГВ) VАRGAZ EuroSit г. Таганрог в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Котел  АОГВК 11,6 (круглый аналог АОГВ) VАRGAZ EuroSit г. Таганрог купить в Пензе в магазине «Техресурс»
Газовый напольный котел Лемакс Premier КСГ 11.6 NOVA SIT;36330;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6220_big.png;"Характеристики|Ширина|32.5 см
Характеристики|Глубина|57 см
Характеристики|Высота|83.5 см
Характеристики|Вес|41.5 кг
Характеристики|Защита от перегрева|есть
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|93 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|11.6 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|120 мм
Характеристики|Циркуляционный насос|нет
Характеристики|Диаметр дымохода|120 мм
";KSO-УУУУ03032;Купить Газовый напольный котел Лемакс Premier КСГ 11.6 NOVA SIT в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Газовый напольный котел Лемакс Premier КСГ 11.6 NOVA SIT купить в Пензе в магазине «Техресурс»
Конорд АКГВ-17,4-3  под Жук;34490;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/7484_big.jpg;"Характеристики|Ширина|36.8 см
Характеристики|Глубина|49.5 см
Характеристики|Высота|93.6 см
Характеристики|Вес|57.2 кг
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|двухконтурный
Характеристики|Отапливаемая площадь|174 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|17.4 кВт
Характеристики|Диаметр дымохода|114 мм
Характеристики|КПД|90 %
Характеристики|Расход природного газа|0.94 м³/ч
Характеристики|Материал теплообменника|сталь
Характеристики|Топливо|природный газ
Характеристики|Управление|механическое
Характеристики|Дисплей|нет
Характеристики|Газ-контроль|есть
Характеристики|Диаметр дымохода|114 мм
Характеристики|Термометр|есть
";KSO-УУУУ03062;Купить Конорд АКГВ-17,4-3  под Жук в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Конорд АКГВ-17,4-3  под Жук купить в Пензе в магазине «Техресурс»
котел ДОН ЭКО  КС-Г-16S автоматика SIT;27250;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6438_big.png;"Характеристики|Ширина|33.2 см
Характеристики|Глубина|52.1 см
Характеристики|Высота|65 см
Характеристики|Вес|42.2 кг
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|160 м²
Характеристики|Тепловая мощность|16 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|100 мм
Характеристики|КПД|90 %
Характеристики|Расход природного газа|0.8 м³/ч
Характеристики|Материал теплообменника|сталь
Характеристики|Диаметр дымохода|100 мм
";KSO-УУУУ03069;Купить котел ДОН ЭКО  КС-Г-16S автоматика SIT в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;котел ДОН ЭКО  КС-Г-16S автоматика SIT купить в Пензе в магазине «Техресурс»
котел ДОН ЭКО  КС-Г-20S автоматика SIT;28170;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6439_big.png;"Характеристики|Ширина|33.2 см
Характеристики|Глубина|58.2 см
Характеристики|Высота|65 см
Характеристики|Вес|47.3 кг
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|200 м²
Характеристики|Тепловая мощность|20 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|100 мм
Характеристики|КПД|90 %
Характеристики|Расход природного газа|0.92 м³/ч
Характеристики|Материал теплообменника|сталь
Характеристики|Диаметр дымохода|100 мм
";KSO-УУУУ03139;Купить котел ДОН ЭКО  КС-Г-20S автоматика SIT в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;котел ДОН ЭКО  КС-Г-20S автоматика SIT купить в Пензе в магазине «Техресурс»
Котел  АОГВ-17,4   EUROSIT    квадрат (Боринское);31040;Котлы отопительные|Газовые котлы;https://www.pogodavdome73.ru/pictures/product/big/6614_big.jpg;"Характеристики|Ширина|40.3 см
Характеристики|Глубина|46.3 см
Характеристики|Высота|95.7 см
Характеристики|Вес|50 кг
Характеристики|Камера сгорания|открытая
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|150 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|17.4 кВт
Характеристики|Автоматика|EuroSit
Характеристики|Диаметр дымохода|123 мм
Характеристики|КПД|90 %
Характеристики|Расход природного газа|1.76 м³/ч
Характеристики|Топливо|природный газ
Характеристики|Индикация включения|нет
Характеристики|Управление|механическое
Характеристики|Газ-контроль|есть
Характеристики|Диаметр дымохода|123 мм
Характеристики|Термометр|есть
";KSO-УУУУ03146;Купить Котел  АОГВ-17,4   EUROSIT    квадрат (Боринское) в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Котел  АОГВ-17,4   EUROSIT    квадрат (Боринское) купить в Пензе в магазине «Техресурс»
