_NAME_;_PRICE_;_CATEGORY_;_IMAGE_;_ATTRIBUTES_;_MODEL_;_META_DESCRIPTION_; _META_TITLE_
Циркуляционный насос GRS 32/8 Pumpman;10240;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7130_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Производительность|10200 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|8 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|225 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|10200 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|8 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|225 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-УУУУ03764;Купить Циркуляционный насос GRS 32/8 Pumpman в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос GRS 32/8 Pumpman купить в Пензе в магазине «Техресурс»
Циркуляционный насос WILO-STAR RS25/7;17120;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7146_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Страна производитель|Германия
Характеристики|Производительность|5000 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|7 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|132 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|5000 л/час
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|7 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|132 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-А1330;Купить Циркуляционный насос WILO-STAR RS25/7 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос WILO-STAR RS25/7 купить в Пензе в магазине «Техресурс»
Циркуляционный насос WILO-STAR RS30/6;14480;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7150_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Страна производитель|Германия
Характеристики|Производительность|4000 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|48 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|4000 л/час
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|48 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-А1333;Купить Циркуляционный насос WILO-STAR RS30/6 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос WILO-STAR RS30/6 купить в Пензе в магазине «Техресурс»
Циркуляционный насос TRS 32/4 Pumpman;4740;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7133_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Производительность|2520 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|85 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|2520 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|85 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-УУУУ01381;Купить Циркуляционный насос TRS 32/4 Pumpman в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос TRS 32/4 Pumpman купить в Пензе в магазине «Техресурс»
Циркуляционный насос TRS 32/6 Pumpman;4740;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7134_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Производительность|2520 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|100 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|2520 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|100 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-УУУУ01382;Купить Циркуляционный насос TRS 32/6 Pumpman в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос TRS 32/6 Pumpman купить в Пензе в магазине «Техресурс»
Циркуляционный насос CD 25/2 Оазис;3490;Насосы;https://www.pogodavdome73.ru/pictures/product/big/14539_big.jpeg;"Характеристики|Вес|2.1 кг
Характеристики|Материал корпуса|металл
Характеристики|Мощность|60 Вт
Характеристики|Материал корпуса|металл
Характеристики|Максимальный напор|2 м
Характеристики|Тип ротора|мокрый
Характеристики|Максимальный напор|2 м
Характеристики|Тип ротора|мокрый
";KSO-УУУУ02328;Купить Циркуляционный насос CD 25/2 Оазис в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос CD 25/2 Оазис купить в Пензе в магазине «Техресурс»
Циркуляционный насос WILO-STAR RS25/8;18480;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7147_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Страна производитель|Германия
Характеристики|Производительность|6000 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|8 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|151 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|6000 л/час
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|8 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|151 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-А4480;Купить Циркуляционный насос WILO-STAR RS25/8 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос WILO-STAR RS25/8 купить в Пензе в магазине «Техресурс»
Циркуляционный насос TRS 25/4 Pumpman;4280;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7131_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Производительность|2520 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|85 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|2520 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|85 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-УУУУ00543;Купить Циркуляционный насос TRS 25/4 Pumpman в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос TRS 25/4 Pumpman купить в Пензе в магазине «Техресурс»
Циркуляционный насос CN 25/4 Оазис;3250;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7108_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Страна производитель|Китай
Характеристики|Производительность|2400 л/час
Характеристики|Материал вала|металлокерамика
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|72 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|2400 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|4 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|72 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-А3001;Купить Циркуляционный насос CN 25/4 Оазис в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос CN 25/4 Оазис купить в Пензе в магазине «Техресурс»
Циркуляционный насос TRS 25/6 Pumpman;4490;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7132_big.jpg;"Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|чугун
Характеристики|Производительность|2520 л/час
Характеристики|Материал корпуса|чугун
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Напряжение|220 В
Характеристики|Потребляемая мощность|100 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|2520 л/час
Характеристики|Количество скоростей|3
Характеристики|Конструкция|одинарный
Характеристики|Максимальный напор|6 м
Характеристики|Монтажная длина|180 мм
Характеристики|Потребляемая мощность|100 Вт
Характеристики|Принцип действия|центробежный
Характеристики|Тип ротора|мокрый
";KSO-УУУУ00642;Купить Циркуляционный насос TRS 25/6 Pumpman в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос TRS 25/6 Pumpman купить в Пензе в магазине «Техресурс»
Циркуляционный насос Грунфос UP 15-14 BU (96433884);13180;Насосы;https://www.pogodavdome73.ru/pictures/product/big/7805_big.jpg;"Характеристики|Вес|1.15 кг
Характеристики|Напряжение|220 В
Характеристики|Материал корпуса|латунь
Характеристики|Производительность|500 л/ч
Характеристики|Материал корпуса|латунь
Характеристики|Максимальный напор|1.2 м
Характеристики|Монтажная длина|80 мм
Характеристики|Напряжение|220 В
Характеристики|Тип ротора|мокрый
Характеристики|Производительность|500 л/ч
Характеристики|Максимальный напор|1.2 м
Характеристики|Монтажная длина|80 мм
Характеристики|Тип ротора|мокрый
";KSO-А4209;Купить Циркуляционный насос Грунфос UP 15-14 BU (96433884) в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар;Циркуляционный насос Грунфос UP 15-14 BU (96433884) купить в Пензе в магазине «Техресурс»
